Obrázek uložen do vizualizace\epoch_00200.png
Epoch [201/10000] | D: -35.0975 | G: -277.4589
Epoch [202/10000] | D: -36.3518 | G: -268.8032
Epoch [203/10000] | D: -18.4156 | G: -252.2608
Epoch [204/10000] | D: -54.1633 | G: -426.7085
Epoch [205/10000] | D: -33.9348 | G: -360.3813
Epoch [206/10000] | D: -21.4485 | G: -321.7975
Epoch [207/10000] | D: -40.1197 | G: -259.6023
Epoch [208/10000] | D: -34.3300 | G: -281.8821
Epoch [209/10000] | D: -61.9699 | G: -345.6475
Epoch [210/10000] | D: -62.4625 | G: -291.8780
Epoch [211/10000] | D: -26.9210 | G: -324.2975
Epoch [212/10000] | D: -39.2880 | G: -236.7496
Epoch [213/10000] | D: -32.8911 | G: -293.2966
Epoch [214/10000] | D: -80.4521 | G: -384.4028
Epoch [215/10000] | D: -39.9443 | G: -314.4049
Epoch [216/10000] | D: -33.8654 | G: -253.8573
Epoch [217/10000] | D: -32.7231 | G: -318.3340
Epoch [218/10000] | D: -46.2231 | G: -259.2852
Epoch [219/10000] | D: -68.9662 | G: -359.4867
Epoch [220/10000] | D: -34.1975 | G: -291.5219
Epoch [221/10000] | D: -49.0564 | G: -283.4680
Epoch [222/10000] | D: -45.1819 | G: -281.4791
Epoch [223/10000] | D: -54.6632 | G: -379.1176
Epoch [224/10000] | D: -18.0714 | G: -322.3515
Epoch [225/10000] | D: -30.9109 | G: -423.1284
Epoch [226/10000] | D: -14.6064 | G: -381.0442
Epoch [227/10000] | D: -57.0639 | G: -464.7291
Epoch [228/10000] | D: -56.0468 | G: -384.7743
Epoch [229/10000] | D: -42.0842 | G: -383.7983
Epoch [230/10000] | D: -115.8339 | G: -464.2067
Epoch [231/10000] | D: -36.8400 | G: -375.0567
Epoch [232/10000] | D: -48.5653 | G: -391.2106
Epoch [233/10000] | D: -40.7767 | G: -306.5107
Epoch [234/10000] | D: -34.0548 | G: -226.4326
Epoch [235/10000] | D: -17.4293 | G: -309.7841
Epoch [236/10000] | D: -46.9088 | G: -200.3919
Epoch [237/10000] | D: -30.4553 | G: -245.1515
Epoch [238/10000] | D: -26.5723 | G: -185.1444
Epoch [239/10000] | D: -58.7691 | G: -297.1828
Epoch [240/10000] | D: -42.7537 | G: -218.6960
Epoch [241/10000] | D: -41.9175 | G: -193.0960
Epoch [242/10000] | D: -64.7380 | G: -290.8525
Epoch [243/10000] | D: -46.9903 | G: -298.3193
Epoch [244/10000] | D: -44.3558 | G: -307.3873
Epoch [245/10000] | D: -42.2848 | G: -270.2916
Epoch [246/10000] | D: -27.7142 | G: -295.2209
Epoch [247/10000] | D: -29.9789 | G: -188.7504
Epoch [248/10000] | D: -49.6998 | G: -163.8819
Epoch [249/10000] | D: -40.7897 | G: -252.9314
Epoch [250/10000] | D: -59.0557 | G: -303.9861
Epoch [251/10000] | D: -35.7229 | G: -214.6087
Epoch [252/10000] | D: -63.2232 | G: -308.7257
Epoch [253/10000] | D: -38.9889 | G: -355.8407
Epoch [254/10000] | D: -28.5608 | G: -320.9670
Epoch [255/10000] | D: -45.7444 | G: -320.8503
Epoch [256/10000] | D: -28.0910 | G: -306.1950
Epoch [257/10000] | D: -40.0867 | G: -323.1336
Epoch [258/10000] | D: -8.3022 | G: -345.2299
Epoch [259/10000] | D: -23.7042 | G: -327.0925
Epoch [260/10000] | D: -23.6493 | G: -270.0788
Epoch [261/10000] | D: -42.5418 | G: -241.2639
Epoch [262/10000] | D: -42.7150 | G: -199.4171
Epoch [263/10000] | D: -26.8924 | G: -148.0297
Epoch [264/10000] | D: -53.1839 | G: -141.3979
Epoch [265/10000] | D: -37.3652 | G: -244.2443
Epoch [266/10000] | D: -32.4397 | G: -153.2309
Epoch [267/10000] | D: -36.0714 | G: -205.9093
Epoch [268/10000] | D: -12.6278 | G: -194.1843
Epoch [269/10000] | D: -51.2077 | G: -258.1774
Epoch [270/10000] | D: -68.1060 | G: -329.7755
Epoch [271/10000] | D: -55.3868 | G: -289.3445
Epoch [272/10000] | D: -47.4684 | G: -347.2736
Epoch [273/10000] | D: -34.2987 | G: -262.2513
Epoch [274/10000] | D: -44.3204 | G: -321.1830
Epoch [275/10000] | D: -55.0460 | G: -134.1196
Epoch [276/10000] | D: -51.6838 | G: -319.7694
Epoch [277/10000] | D: -33.1913 | G: -227.4884
Epoch [278/10000] | D: -20.3101 | G: -252.6039
Epoch [279/10000] | D: -30.6920 | G: -293.5657
Epoch [280/10000] | D: -34.4542 | G: -240.9264
Epoch [281/10000] | D: -25.7957 | G: -290.0153
Epoch [282/10000] | D: -29.0293 | G: -291.2242
Epoch [283/10000] | D: -23.7960 | G: -254.5230
Epoch [284/10000] | D: -34.6050 | G: -222.4451
Epoch [285/10000] | D: -43.8007 | G: -286.2287
Epoch [286/10000] | D: -58.5675 | G: -232.6766
Epoch [287/10000] | D: -22.2556 | G: -240.2904
Epoch [288/10000] | D: -19.6066 | G: -250.5915
Epoch [289/10000] | D: -48.1775 | G: -279.6888
Epoch [290/10000] | D: -30.9915 | G: -246.1437
Epoch [291/10000] | D: -23.5306 | G: -329.6706
Epoch [292/10000] | D: -49.5709 | G: -324.7181
Epoch [293/10000] | D: -17.2900 | G: -165.7347
Epoch [294/10000] | D: -42.2372 | G: -365.7146
Epoch [295/10000] | D: -65.8559 | G: -341.2845
Epoch [296/10000] | D: -46.2311 | G: -176.7878
Epoch [297/10000] | D: -61.4096 | G: -234.1141
Epoch [298/10000] | D: -4.6738 | G: -248.6460
Epoch [299/10000] | D: -42.8482 | G: -287.5170
Epoch [300/10000] | D: -37.3825 | G: -226.3886
Váhy pro generátor a diskriminátor při epoše 300 byly uloženy.
Vizualizace mřížky pro epochu 300
Obrázek uložen do vizualizace\epoch_00300.png
Epoch [301/10000] | D: -77.6365 | G: -436.9604
Epoch [302/10000] | D: -35.7838 | G: -405.5799
Epoch [303/10000] | D: -59.5047 | G: -411.1987
Epoch [304/10000] | D: -24.6645 | G: -288.0783
Epoch [305/10000] | D: -47.6956 | G: -368.9036
Epoch [306/10000] | D: -21.2301 | G: -328.0834
Epoch [307/10000] | D: -48.4983 | G: -385.2446
Epoch [308/10000] | D: -23.8514 | G: -235.2827
Epoch [309/10000] | D: -25.8347 | G: -289.8877
Epoch [310/10000] | D: 0.4112 | G: -269.6395
Epoch [311/10000] | D: -38.5516 | G: -273.0181
Epoch [312/10000] | D: -18.4845 | G: -290.0723
Epoch [313/10000] | D: -73.7858 | G: -363.3234
Epoch [314/10000] | D: -66.6415 | G: -331.7918
Epoch [315/10000] | D: 6.8794 | G: -340.8441
Epoch [316/10000] | D: -32.5752 | G: -367.3280
Epoch [317/10000] | D: -55.1225 | G: -514.0463
Epoch [318/10000] | D: -64.7395 | G: -501.4211
Epoch [319/10000] | D: -17.6877 | G: -295.0023
Epoch [320/10000] | D: -33.1541 | G: -281.7589
Epoch [321/10000] | D: -26.4943 | G: -259.9636
Epoch [322/10000] | D: -36.3614 | G: -302.5270
Epoch [323/10000] | D: -40.9029 | G: -339.0290
Epoch [324/10000] | D: -43.7636 | G: -374.4516
Epoch [325/10000] | D: -55.6679 | G: -332.5328
Epoch [326/10000] | D: -51.4445 | G: -323.1096
Epoch [327/10000] | D: -25.9262 | G: -283.5602
Epoch [328/10000] | D: -54.4990 | G: -358.1025
Epoch [329/10000] | D: -33.8571 | G: -281.6353
Epoch [330/10000] | D: -40.7961 | G: -384.1212
Epoch [331/10000] | D: -61.2047 | G: -590.6474
Epoch [332/10000] | D: -42.0937 | G: -518.3707
Epoch [333/10000] | D: -45.0664 | G: -475.8089
Epoch [334/10000] | D: -8.0329 | G: -481.3403
Epoch [335/10000] | D: -19.5394 | G: -429.1305
Epoch [336/10000] | D: -50.2219 | G: -422.8662
Epoch [337/10000] | D: -8.6071 | G: -355.4435
Epoch [338/10000] | D: -52.1199 | G: -443.6139
Epoch [339/10000] | D: -20.5498 | G: -505.9868
Epoch [340/10000] | D: -26.8382 | G: -417.5226
Epoch [341/10000] | D: -34.1683 | G: -434.8917
Epoch [342/10000] | D: -39.7498 | G: -423.6255
Epoch [343/10000] | D: -43.1964 | G: -367.6420
Epoch [344/10000] | D: -69.4456 | G: -311.1921
Epoch [345/10000] | D: -39.0501 | G: -357.1511
Epoch [346/10000] | D: -43.8871 | G: -437.7280
Epoch [347/10000] | D: -30.5720 | G: -366.4749
Epoch [348/10000] | D: -15.4685 | G: -391.8008
Epoch [349/10000] | D: -54.6086 | G: -373.3184
Epoch [350/10000] | D: -43.1600 | G: -464.2325
Epoch [351/10000] | D: -39.8550 | G: -365.7426
Epoch [352/10000] | D: -33.3646 | G: -438.6318
Epoch [353/10000] | D: -31.4589 | G: -426.2286
Epoch [354/10000] | D: -35.5350 | G: -324.8546
Epoch [355/10000] | D: -40.2447 | G: -332.4216
Epoch [356/10000] | D: -54.4966 | G: -391.3195
Epoch [357/10000] | D: -65.7875 | G: -326.6046
Epoch [358/10000] | D: -56.9952 | G: -410.3304
Epoch [359/10000] | D: -64.7301 | G: -282.2005
Epoch [360/10000] | D: -40.4789 | G: -391.8886
Epoch [361/10000] | D: -72.1342 | G: -318.3644
Epoch [362/10000] | D: -33.1482 | G: -243.9016
Epoch [363/10000] | D: -31.0734 | G: -332.3480
Epoch [364/10000] | D: -33.9143 | G: -284.4984
Epoch [365/10000] | D: -19.6115 | G: -406.0700
Epoch [366/10000] | D: -39.6647 | G: -289.0898
Epoch [367/10000] | D: -28.3323 | G: -329.0332
Epoch [368/10000] | D: -33.6139 | G: -195.0423
Epoch [369/10000] | D: -37.9733 | G: -273.7168
Epoch [370/10000] | D: -24.3499 | G: -318.9766
Epoch [371/10000] | D: -14.0522 | G: -260.1797
Epoch [372/10000] | D: -42.0307 | G: -289.9172
Epoch [373/10000] | D: -45.7494 | G: -197.6114
Epoch [374/10000] | D: -46.8706 | G: -283.9711
Epoch [375/10000] | D: -34.0528 | G: -343.2484
Epoch [376/10000] | D: -38.3626 | G: -281.8068
Epoch [377/10000] | D: -53.0254 | G: -290.2155
Epoch [378/10000] | D: -26.4032 | G: -310.9482
Epoch [379/10000] | D: -54.3712 | G: -258.1022
Epoch [380/10000] | D: -29.6679 | G: -371.3610
Epoch [381/10000] | D: -31.7629 | G: -352.3574
Epoch [382/10000] | D: -29.2232 | G: -302.1888
Epoch [383/10000] | D: -55.1035 | G: -366.5647
Epoch [384/10000] | D: -41.5183 | G: -311.9679
Epoch [385/10000] | D: -34.3994 | G: -329.0041
Epoch [386/10000] | D: -43.5276 | G: -295.3040
Epoch [387/10000] | D: -31.2825 | G: -351.3010
Epoch [388/10000] | D: -47.9915 | G: -378.6328
Epoch [389/10000] | D: -37.5393 | G: -380.9942
Epoch [390/10000] | D: -51.5903 | G: -297.4831
Epoch [391/10000] | D: -27.7431 | G: -286.4988
Epoch [392/10000] | D: -27.3230 | G: -291.4112
Epoch [393/10000] | D: -35.2014 | G: -284.8162
Epoch [394/10000] | D: -32.9924 | G: -297.1199
Epoch [395/10000] | D: -60.7318 | G: -317.9023
Epoch [396/10000] | D: -5.0072 | G: -268.9352
Epoch [397/10000] | D: -31.9522 | G: -264.1580
Epoch [398/10000] | D: -54.6291 | G: -212.8816
Epoch [399/10000] | D: -50.3562 | G: -273.9461
Epoch [400/10000] | D: -63.5101 | G: -186.8608
Váhy pro generátor a diskriminátor při epoše 400 byly uloženy.
Vizualizace mřížky pro epochu 400
Obrázek uložen do vizualizace\epoch_00400.png
Epoch [401/10000] | D: -31.9853 | G: -326.0877
Epoch [402/10000] | D: -69.0283 | G: -377.4154
Epoch [403/10000] | D: -25.1321 | G: -246.2323
Epoch [404/10000] | D: -37.0890 | G: -292.7391
Epoch [405/10000] | D: -34.0486 | G: -297.0915
Epoch [406/10000] | D: -39.9148 | G: -310.5621
Epoch [407/10000] | D: -50.6826 | G: -377.1006
Epoch [408/10000] | D: -15.2332 | G: -370.1199
Epoch [409/10000] | D: -33.3363 | G: -339.8483
Epoch [410/10000] | D: -32.9073 | G: -358.1303
Epoch [411/10000] | D: -45.0557 | G: -342.7081
Epoch [412/10000] | D: -24.9555 | G: -320.9335
Epoch [413/10000] | D: -41.1909 | G: -254.2111
Epoch [414/10000] | D: -42.9587 | G: -347.9758
Epoch [415/10000] | D: -55.9000 | G: -332.0978
Epoch [416/10000] | D: -51.6697 | G: -302.8640
Epoch [417/10000] | D: -24.3639 | G: -252.7343
Epoch [418/10000] | D: -26.6324 | G: -344.2590
Epoch [419/10000] | D: -50.0933 | G: -328.4221
Epoch [420/10000] | D: -13.1612 | G: -336.6438
Epoch [421/10000] | D: -51.5130 | G: -296.2675
Epoch [422/10000] | D: -31.7335 | G: -309.2274
Epoch [423/10000] | D: -34.3656 | G: -291.5184
Epoch [424/10000] | D: -1.9392 | G: -324.2366
Epoch [425/10000] | D: -39.5683 | G: -394.4981
Epoch [426/10000] | D: -33.4570 | G: -308.6783
Epoch [427/10000] | D: -50.5087 | G: -332.3991
Epoch [428/10000] | D: -58.3557 | G: -419.8191
Epoch [429/10000] | D: -29.4989 | G: -308.7151
Epoch [430/10000] | D: -33.9507 | G: -424.5901
Epoch [431/10000] | D: -25.9780 | G: -385.8175
Epoch [432/10000] | D: -39.1477 | G: -427.4441
Epoch [433/10000] | D: -23.1790 | G: -480.0028
Epoch [434/10000] | D: -37.3501 | G: -385.5728
Epoch [435/10000] | D: -58.6006 | G: -429.5154
Epoch [436/10000] | D: -44.1705 | G: -398.9984
Epoch [437/10000] | D: -45.4441 | G: -308.5009
Epoch [438/10000] | D: -35.5551 | G: -314.8524
Epoch [439/10000] | D: -44.5878 | G: -365.3606
Epoch [440/10000] | D: -19.3225 | G: -276.9810
Epoch [441/10000] | D: -38.3256 | G: -325.6003
Epoch [442/10000] | D: -48.0766 | G: -301.5546
Epoch [443/10000] | D: -30.4465 | G: -313.5058
Epoch [444/10000] | D: -47.8756 | G: -348.5501
Epoch [445/10000] | D: -30.0528 | G: -319.8351
Epoch [446/10000] | D: -44.9073 | G: -297.6279
Epoch [447/10000] | D: -20.0321 | G: -327.5526
Epoch [448/10000] | D: -65.5984 | G: -298.4530
Epoch [449/10000] | D: -52.0482 | G: -336.7821
Epoch [450/10000] | D: -39.0257 | G: -420.3037
Epoch [451/10000] | D: -31.6014 | G: -427.8881
Epoch [452/10000] | D: -40.6812 | G: -292.0170
Epoch [453/10000] | D: -32.1369 | G: -236.8611
Epoch [454/10000] | D: -38.1898 | G: -292.6404
Epoch [455/10000] | D: -31.3622 | G: -318.5273
Epoch [456/10000] | D: -39.4206 | G: -272.6885
Epoch [457/10000] | D: -31.5064 | G: -302.2263
Epoch [458/10000] | D: -37.8526 | G: -259.6622
Epoch [459/10000] | D: -37.4384 | G: -292.3867
Epoch [460/10000] | D: -28.6883 | G: -295.9894
Epoch [461/10000] | D: -30.4619 | G: -332.6959
Epoch [462/10000] | D: -37.6138 | G: -263.1275
Epoch [463/10000] | D: -30.5842 | G: -323.1627
Epoch [464/10000] | D: -12.7771 | G: -410.3622
Epoch [465/10000] | D: -48.6052 | G: -420.1749
Epoch [466/10000] | D: -42.0873 | G: -337.1759
Epoch [467/10000] | D: -54.2800 | G: -365.1713
Epoch [468/10000] | D: 0.3945 | G: -306.8224
Epoch [469/10000] | D: -55.8005 | G: -402.3734
Epoch [470/10000] | D: -29.9846 | G: -300.4042
Epoch [471/10000] | D: -37.5123 | G: -411.5387
Epoch [472/10000] | D: -46.4686 | G: -446.1277
Epoch [473/10000] | D: -17.9758 | G: -374.2825
Epoch [474/10000] | D: -47.8454 | G: -319.7418
Epoch [475/10000] | D: -49.2366 | G: -376.1855
Epoch [476/10000] | D: -51.4605 | G: -449.3860
Epoch [477/10000] | D: -50.7088 | G: -418.0523
Epoch [478/10000] | D: -48.7179 | G: -433.9605
Epoch [479/10000] | D: 0.8874 | G: -305.9504
Epoch [480/10000] | D: -42.8065 | G: -396.9840
Epoch [481/10000] | D: -50.8163 | G: -428.4078
Epoch [482/10000] | D: -38.0961 | G: -345.5774
Epoch [483/10000] | D: -47.3347 | G: -416.4721
Epoch [484/10000] | D: -49.3001 | G: -334.7823
Epoch [485/10000] | D: -37.5175 | G: -325.1512
Epoch [486/10000] | D: -37.4633 | G: -395.9316
Epoch [487/10000] | D: -35.5988 | G: -351.5855
Epoch [488/10000] | D: -22.0101 | G: -349.9749
Epoch [489/10000] | D: -49.0051 | G: -382.9990
