Epoch [215/10000] | D: -35.8269 | G: -169.8894
Epoch [216/10000] | D: -29.9002 | G: -128.0795
Epoch [217/10000] | D: -61.2019 | G: -320.2180
Epoch [218/10000] | D: 6.5005 | G: -128.6682
Epoch [219/10000] | D: -43.1972 | G: -248.2756
Epoch [220/10000] | D: -24.4249 | G: -104.7540
Epoch [221/10000] | D: -32.1281 | G: -80.4635
Epoch [222/10000] | D: -30.7806 | G: -263.4037
Epoch [223/10000] | D: -21.6832 | G: -174.2518
Epoch [224/10000] | D: -32.2664 | G: -122.2479
Epoch [225/10000] | D: -43.6394 | G: -275.2495
Epoch [226/10000] | D: -36.8265 | G: -301.8553
Epoch [227/10000] | D: -23.2154 | G: -147.0419
Epoch [228/10000] | D: -32.3879 | G: -221.1637
Epoch [229/10000] | D: -24.2418 | G: -183.7663
Epoch [230/10000] | D: -30.0171 | G: -213.0899
Epoch [231/10000] | D: -22.5221 | G: -242.9063
Epoch [232/10000] | D: -21.0651 | G: -234.0533
Epoch [233/10000] | D: -20.3542 | G: -265.3298
Epoch [234/10000] | D: -25.5423 | G: -332.4182
Epoch [235/10000] | D: -22.4601 | G: -209.6269
Epoch [236/10000] | D: -28.0532 | G: -275.2896
Epoch [237/10000] | D: -46.6560 | G: -313.4675
Epoch [238/10000] | D: -20.3346 | G: -324.9513
Epoch [239/10000] | D: 13.0598 | G: -326.7021
Epoch [240/10000] | D: -12.4598 | G: -251.2713
Epoch [241/10000] | D: -23.9552 | G: -209.7887
Epoch [242/10000] | D: -39.6014 | G: -371.3135
Epoch [243/10000] | D: -50.7175 | G: -189.7711
Epoch [244/10000] | D: -14.8114 | G: -223.9648
Epoch [245/10000] | D: -29.1666 | G: -243.3114
Epoch [246/10000] | D: -28.8134 | G: -188.0450
Epoch [247/10000] | D: -9.5051 | G: -288.9470
Epoch [248/10000] | D: -38.7827 | G: -274.4708
Epoch [249/10000] | D: -44.2985 | G: -200.0625
Epoch [250/10000] | D: -13.5902 | G: -293.6387
Epoch [251/10000] | D: -25.1157 | G: -319.4247
Epoch [252/10000] | D: -18.1377 | G: -247.9371
Epoch [253/10000] | D: -14.6852 | G: -285.0898
Epoch [254/10000] | D: -26.3610 | G: -238.1841
Epoch [255/10000] | D: -8.0014 | G: -120.3155
Epoch [256/10000] | D: -36.8509 | G: -156.3246
Epoch [257/10000] | D: -28.5471 | G: -95.6994
Epoch [258/10000] | D: -49.9929 | G: -313.6375
Epoch [259/10000] | D: -16.8979 | G: -156.0493
Epoch [260/10000] | D: -30.1195 | G: -102.6734
Epoch [261/10000] | D: -30.7093 | G: -242.1144
Epoch [262/10000] | D: -31.0215 | G: -230.4319
Epoch [263/10000] | D: -29.1603 | G: -299.6939
Epoch [264/10000] | D: -4.5945 | G: -276.3192
Epoch [265/10000] | D: -30.3956 | G: -234.0203
Epoch [266/10000] | D: -12.1781 | G: -192.9302
Epoch [267/10000] | D: -18.0394 | G: -273.3924
Epoch [268/10000] | D: -8.9464 | G: -263.3036
Epoch [269/10000] | D: -2.4890 | G: -312.2611
Epoch [270/10000] | D: -44.0291 | G: -126.0616
Epoch [271/10000] | D: -18.5888 | G: -241.0992
Epoch [272/10000] | D: -29.1516 | G: -303.6756
Epoch [273/10000] | D: -19.3988 | G: -284.0814
Epoch [274/10000] | D: -50.2770 | G: -366.6055
Epoch [275/10000] | D: -39.9673 | G: -310.7365
Epoch [276/10000] | D: -34.3021 | G: -300.9684
Epoch [277/10000] | D: -18.8996 | G: -229.8995
Epoch [278/10000] | D: -25.4485 | G: -345.0195
Epoch [279/10000] | D: -37.1486 | G: -359.8655
Epoch [280/10000] | D: -32.4342 | G: -419.3221
Epoch [281/10000] | D: -21.7796 | G: -178.4031
Epoch [282/10000] | D: -26.9080 | G: -232.3803
Epoch [283/10000] | D: -22.5709 | G: -281.7197
Epoch [284/10000] | D: -53.0140 | G: -322.4911
Epoch [285/10000] | D: -31.4717 | G: -285.6697
Epoch [286/10000] | D: -3.6732 | G: -255.2694
Epoch [287/10000] | D: -26.0464 | G: -298.0134
Epoch [288/10000] | D: -32.2517 | G: -250.2293
Epoch [289/10000] | D: -23.2930 | G: -245.4474
Epoch [290/10000] | D: -31.5990 | G: -299.7498
Epoch [291/10000] | D: -27.3314 | G: -284.3846
Epoch [292/10000] | D: -31.8299 | G: -272.4006
Epoch [293/10000] | D: -54.8431 | G: -313.8553
Epoch [294/10000] | D: -20.5339 | G: -234.0044
Epoch [295/10000] | D: -12.6414 | G: -368.8311
Epoch [296/10000] | D: 12.4519 | G: -360.6901
Epoch [297/10000] | D: -64.7738 | G: -315.2421
Epoch [298/10000] | D: -34.1766 | G: -183.0645
Epoch [299/10000] | D: 14.9118 | G: -255.1386
Epoch [300/10000] | D: -8.1990 | G: -163.9260
Váhy pro generátor a diskriminátor při epoše 300 byly uloženy.
Vizualizace mřížky pro epochu 300
Obrázek uložen do vizualizace\epoch_00300.png
Epoch [301/10000] | D: -29.3709 | G: -369.7899
Epoch [302/10000] | D: -23.2611 | G: -332.1838
Epoch [303/10000] | D: -36.7537 | G: -242.5395
Epoch [304/10000] | D: -63.4967 | G: -304.4471
Epoch [305/10000] | D: -28.4246 | G: -233.2768
Epoch [306/10000] | D: -8.3863 | G: -172.0027
Epoch [307/10000] | D: -36.1889 | G: -216.2343
Epoch [308/10000] | D: -25.5441 | G: -223.9817
Epoch [309/10000] | D: -16.0492 | G: -157.4686
Epoch [310/10000] | D: -31.2318 | G: -188.6885
Epoch [311/10000] | D: -16.7406 | G: -87.2700
Epoch [312/10000] | D: -47.2766 | G: -358.6190
Epoch [313/10000] | D: -43.2977 | G: -220.4743
Epoch [314/10000] | D: -25.5370 | G: -245.6682
Epoch [315/10000] | D: -45.7303 | G: -266.8184
Epoch [316/10000] | D: -31.4259 | G: -232.5725
Epoch [317/10000] | D: -16.8016 | G: -195.7113
Epoch [318/10000] | D: -20.7341 | G: -164.2411
Epoch [319/10000] | D: -18.4629 | G: -310.8145
Epoch [320/10000] | D: -26.6478 | G: -254.1376
Epoch [321/10000] | D: -26.7613 | G: -289.1262
Epoch [322/10000] | D: -29.9876 | G: -255.0082
