Epoch [161/10000] | D: -69.5338 | G: -218.5891
Epoch [162/10000] | D: -26.5465 | G: -220.4442
Epoch [163/10000] | D: -35.6710 | G: -254.6261
Epoch [164/10000] | D: -51.9879 | G: -168.8326
Epoch [165/10000] | D: -61.7852 | G: -173.0540
Epoch [166/10000] | D: -72.7972 | G: -171.4743
Epoch [167/10000] | D: -38.1978 | G: -293.6139
Epoch [168/10000] | D: -61.7737 | G: -213.7220
Epoch [169/10000] | D: -52.1084 | G: -409.9520
Epoch [170/10000] | D: -112.4999 | G: -85.3797
Epoch [171/10000] | D: -65.5889 | G: -549.3527
Epoch [172/10000] | D: -108.5781 | G: -266.1410
Epoch [173/10000] | D: -45.8296 | G: -189.7788
Epoch [174/10000] | D: -38.0743 | G: -244.5732
Epoch [175/10000] | D: -69.3795 | G: -115.6422
Epoch [176/10000] | D: -44.4670 | G: -301.8997
Epoch [177/10000] | D: 6.1489 | G: -489.6183
Epoch [178/10000] | D: -28.1868 | G: -318.5015
Epoch [179/10000] | D: -63.0784 | G: -393.3491
Epoch [180/10000] | D: -84.9880 | G: -138.1997
Epoch [181/10000] | D: -65.8933 | G: -318.1912
Epoch [182/10000] | D: -15.0634 | G: -158.9399
Epoch [183/10000] | D: -62.7749 | G: -118.9952
Epoch [184/10000] | D: -2.3169 | G: -362.3043
Epoch [185/10000] | D: -54.2755 | G: -172.4313
Epoch [186/10000] | D: -51.6881 | G: 251.0641
Epoch [187/10000] | D: -64.9703 | G: -495.7674
Epoch [188/10000] | D: -30.3375 | G: -290.0385
Epoch [189/10000] | D: -37.8145 | G: -409.3406
Epoch [190/10000] | D: -33.2685 | G: -202.4190
Epoch [191/10000] | D: -64.2657 | G: -233.2072
Epoch [192/10000] | D: -46.2283 | G: -198.1335
Epoch [193/10000] | D: -32.8809 | G: -217.6178
Epoch [194/10000] | D: -34.8835 | G: -542.8337
Epoch [195/10000] | D: -25.1346 | G: -173.1375
Epoch [196/10000] | D: -36.0909 | G: -315.4366
Epoch [197/10000] | D: -71.1047 | G: 143.9765
Epoch [198/10000] | D: -58.6850 | G: -213.6266
Epoch [199/10000] | D: -89.2520 | G: -268.4271
Epoch [200/10000] | D: -96.0269 | G: -405.4418
Váhy pro generátor a diskriminátor při epoše 200 byly uloženy.
Vizualizace mřížky pro epochu 200
Obrázek uložen do vizualizace\epoch_00200.png
Epoch [201/10000] | D: -64.7448 | G: -238.9036
Epoch [202/10000] | D: -29.9421 | G: -186.1703
Epoch [203/10000] | D: -90.1633 | G: -289.8593
Epoch [204/10000] | D: 2.7645 | G: -272.0499
Epoch [205/10000] | D: -44.6828 | G: -184.0311
Epoch [206/10000] | D: -71.1763 | G: -379.6688
Epoch [207/10000] | D: -46.9473 | G: -222.0808
Epoch [208/10000] | D: -46.3206 | G: -188.7895
Epoch [209/10000] | D: -35.6593 | G: -57.8003
Epoch [210/10000] | D: -80.5790 | G: -161.3378
Epoch [211/10000] | D: -42.0247 | G: -225.5056
Epoch [212/10000] | D: -83.2057 | G: -527.0670
Epoch [213/10000] | D: -33.4161 | G: -425.3546
Epoch [214/10000] | D: -36.8749 | G: -119.9593
Epoch [215/10000] | D: -55.0514 | G: -169.3879
Epoch [216/10000] | D: -66.6856 | G: -341.7780
Epoch [217/10000] | D: -47.7328 | G: -409.8341
Epoch [218/10000] | D: -79.8952 | G: -461.7054
Epoch [219/10000] | D: -27.8896 | G: -262.6072
Epoch [220/10000] | D: -32.2571 | G: -235.9814
Epoch [221/10000] | D: -68.9341 | G: -137.6971
