Epoch [326/10000] | D: -7.7483 | G: -22.1771
Epoch [327/10000] | D: 5.8172 | G: -118.1701
Epoch [328/10000] | D: -19.1804 | G: -114.2848
Epoch [329/10000] | D: -67.3173 | G: -148.0101
Epoch [330/10000] | D: -30.0439 | G: -165.8617
Epoch [331/10000] | D: -32.9113 | G: -218.7478
Epoch [332/10000] | D: -67.3971 | G: -174.5699
Epoch [333/10000] | D: -31.8457 | G: -100.2854
Epoch [334/10000] | D: -81.6972 | G: -215.8997
Epoch [335/10000] | D: -50.4664 | G: -107.4419
Epoch [336/10000] | D: -36.1316 | G: -61.6185
Epoch [337/10000] | D: -31.4408 | G: -135.3420
Epoch [338/10000] | D: -40.5697 | G: -95.1180
Epoch [339/10000] | D: -43.1819 | G: -39.8287
Epoch [340/10000] | D: -19.0691 | G: -213.5853
Epoch [341/10000] | D: -60.0145 | G: -67.7626
Epoch [342/10000] | D: -54.3640 | G: -83.1391
Epoch [343/10000] | D: -23.9083 | G: -58.3892
Epoch [344/10000] | D: -37.9029 | G: -143.2985
Epoch [345/10000] | D: -31.1548 | G: -61.5986
Epoch [346/10000] | D: -17.3579 | G: -135.5400
Epoch [347/10000] | D: -42.4291 | G: -162.9410
Epoch [348/10000] | D: -52.3861 | G: -61.0125
Epoch [349/10000] | D: 10.8248 | G: -117.9211
Epoch [350/10000] | D: -52.9610 | G: -41.4765
Epoch [351/10000] | D: -41.3413 | G: -119.6351
Epoch [352/10000] | D: -49.9146 | G: -114.7990
Epoch [353/10000] | D: 5.3033 | G: -75.7997
Epoch [354/10000] | D: -31.9139 | G: -109.8886
Epoch [355/10000] | D: -65.5063 | G: -127.7525
Epoch [356/10000] | D: -37.1275 | G: -184.8233
Epoch [357/10000] | D: -42.3710 | G: -19.3352
Epoch [358/10000] | D: -80.4471 | G: -44.5496
Epoch [359/10000] | D: -34.5310 | G: -152.0913
Epoch [360/10000] | D: -52.0761 | G: 11.5099
Epoch [361/10000] | D: -37.2418 | G: -44.6521
Epoch [362/10000] | D: -24.1812 | G: -227.8300
Epoch [363/10000] | D: -20.7673 | G: -85.1608
Epoch [364/10000] | D: -29.4809 | G: -35.0944
Epoch [365/10000] | D: -15.5837 | G: -64.0197
Epoch [366/10000] | D: -18.3110 | G: -101.6706
Epoch [367/10000] | D: -62.1717 | G: -13.0654
Epoch [368/10000] | D: -55.9980 | G: -75.2176
Epoch [369/10000] | D: -35.3187 | G: -148.8074
Epoch [370/10000] | D: -9.8571 | G: -110.4244
Epoch [371/10000] | D: -39.1064 | G: -105.9372
Epoch [372/10000] | D: -21.3727 | G: -121.6471
Epoch [373/10000] | D: -39.6900 | G: -283.0340
Epoch [374/10000] | D: -40.6601 | G: 10.1474
Epoch [375/10000] | D: -32.5451 | G: -190.9043
Epoch [376/10000] | D: -41.3381 | G: -134.0495
Epoch [377/10000] | D: -16.6245 | G: -21.1739
Epoch [378/10000] | D: -72.5112 | G: -176.5618
Epoch [379/10000] | D: -47.2265 | G: -81.1895
Epoch [380/10000] | D: -28.5964 | G: -223.6218
Epoch [381/10000] | D: -11.4179 | G: -192.1479
Epoch [382/10000] | D: -59.1505 | G: 12.2001
Epoch [383/10000] | D: -71.3996 | G: -104.4772
Epoch [384/10000] | D: -32.1827 | G: -14.1253
Epoch [385/10000] | D: -57.5103 | G: -108.1324
Epoch [386/10000] | D: -34.8033 | G: -10.9807
Epoch [387/10000] | D: -29.2074 | G: -108.5578
Epoch [388/10000] | D: -66.7121 | G: -114.9887
Epoch [389/10000] | D: -41.4149 | G: -115.2735
Epoch [390/10000] | D: -47.7346 | G: -84.1131
Epoch [391/10000] | D: -48.8546 | G: -88.3012
Epoch [392/10000] | D: -49.1153 | G: -279.1290
Epoch [393/10000] | D: -39.4301 | G: -197.8527
Epoch [394/10000] | D: -68.3230 | G: -64.0762
Epoch [395/10000] | D: -13.7847 | G: -138.1965
Epoch [396/10000] | D: -19.1160 | G: -135.2919
Epoch [397/10000] | D: -53.9768 | G: -107.5644
Epoch [398/10000] | D: -73.6846 | G: -266.7987
Epoch [399/10000] | D: -41.8971 | G: -124.6115
Epoch [400/10000] | D: -17.9118 | G: -100.6424
Váhy pro generátor a diskriminátor při epoše 400 byly uloženy.
Vizualizace mřížky pro epochu 400
Obrázek uložen do vizualizace\epoch_00400.png
Epoch [401/10000] | D: -46.6337 | G: -38.7526
Epoch [402/10000] | D: -45.0458 | G: -39.5041
Epoch [403/10000] | D: -29.5036 | G: -5.5624
Epoch [404/10000] | D: -26.3431 | G: -191.8554
Epoch [405/10000] | D: -27.5556 | G: -89.0271
Epoch [406/10000] | D: -9.5611 | G: -100.2055
Epoch [407/10000] | D: -76.0599 | G: -116.5431
Epoch [408/10000] | D: -14.9053 | G: -159.8340
Epoch [409/10000] | D: -46.7337 | G: -148.7216
Epoch [410/10000] | D: -20.4382 | G: -132.8731
Epoch [411/10000] | D: -31.5258 | G: 41.7593
Epoch [412/10000] | D: -30.1024 | G: -85.0076
Epoch [413/10000] | D: -11.2651 | G: -163.1987
Epoch [414/10000] | D: -50.4748 | G: -163.1383
Epoch [415/10000] | D: -39.4157 | G: -185.7161
Epoch [416/10000] | D: 7.7916 | G: -111.3315
Epoch [417/10000] | D: -22.3954 | G: -133.5668
Epoch [418/10000] | D: -72.5921 | G: -207.3755
Epoch [419/10000] | D: -29.2320 | G: -85.8611
Epoch [420/10000] | D: -21.0012 | G: -221.5543
Epoch [421/10000] | D: -63.2629 | G: -158.0282
Epoch [422/10000] | D: -50.5892 | G: -208.0603
Epoch [423/10000] | D: -46.8241 | G: -10.0084
Epoch [424/10000] | D: -16.1205 | G: -14.0959
Epoch [425/10000] | D: -33.5263 | G: -59.7044
Epoch [426/10000] | D: -17.1032 | G: -95.7199
Epoch [427/10000] | D: -35.3429 | G: -74.3512
Epoch [428/10000] | D: -68.7557 | G: -91.2919
Epoch [429/10000] | D: -33.3641 | G: -77.0235
Epoch [430/10000] | D: -21.4529 | G: 45.9061
Epoch [431/10000] | D: -29.1787 | G: -201.8911
Epoch [432/10000] | D: -28.1024 | G: -224.0493
Epoch [433/10000] | D: -15.6139 | G: -176.0964
Epoch [434/10000] | D: -23.5306 | G: -237.0300
Epoch [435/10000] | D: -14.6413 | G: -228.2953
Epoch [436/10000] | D: -26.1806 | G: -137.8567
Epoch [437/10000] | D: -72.5377 | G: -203.9564
Epoch [438/10000] | D: -47.1978 | G: 8.9750
Epoch [439/10000] | D: -27.7915 | G: -103.9967
Epoch [440/10000] | D: -61.9906 | G: -182.5415
Epoch [441/10000] | D: -62.9030 | G: -197.2508
Epoch [442/10000] | D: -44.1582 | G: -407.7607
Epoch [443/10000] | D: -66.0388 | G: -141.2803
Epoch [444/10000] | D: -69.1194 | G: -137.6647
Epoch [445/10000] | D: -34.1994 | G: -178.5307
Epoch [446/10000] | D: -15.7265 | G: -217.5384
Epoch [447/10000] | D: 25.6352 | G: -63.1526
Epoch [448/10000] | D: -0.3732 | G: -69.7153
Epoch [449/10000] | D: -28.5309 | G: -202.5614
Epoch [450/10000] | D: -28.1411 | G: -168.5977
Epoch [451/10000] | D: -33.7179 | G: -113.0310
Epoch [452/10000] | D: -15.2802 | G: -76.4016
Epoch [453/10000] | D: -20.7066 | G: -54.2630
Epoch [454/10000] | D: -24.9075 | G: -161.2046
Epoch [455/10000] | D: -62.0064 | G: -199.4234
Epoch [456/10000] | D: -3.9617 | G: -156.9922
Epoch [457/10000] | D: 33.1634 | G: -224.4746
Epoch [458/10000] | D: 2.9475 | G: -124.9954
Epoch [459/10000] | D: -35.1477 | G: -190.5704
Epoch [460/10000] | D: -47.3239 | G: -143.1733
Epoch [461/10000] | D: -42.1170 | G: -58.1577
Epoch [462/10000] | D: -40.1449 | G: -78.7115
Epoch [463/10000] | D: -44.5143 | G: -30.7970
Epoch [464/10000] | D: -5.1735 | G: -84.7498
Epoch [465/10000] | D: -44.3848 | G: -21.2459
Epoch [466/10000] | D: -37.7297 | G: -29.8100
Epoch [467/10000] | D: -25.9733 | G: -28.0944
Epoch [468/10000] | D: 25.3987 | G: -126.0737
Epoch [469/10000] | D: -66.6449 | G: 14.4023
Epoch [470/10000] | D: -39.7742 | G: -108.6075
Epoch [471/10000] | D: -37.8107 | G: -43.6053
Epoch [472/10000] | D: 10.4749 | G: -135.9901
Epoch [473/10000] | D: -24.4796 | G: -113.6628
Epoch [474/10000] | D: -17.0154 | G: -285.9199
Epoch [475/10000] | D: -10.1473 | G: -72.9186
Epoch [476/10000] | D: -42.4032 | G: -157.3611
Epoch [477/10000] | D: -45.7707 | G: -202.0908
Epoch [478/10000] | D: -48.8276 | G: -177.4796
Epoch [479/10000] | D: -17.1813 | G: -170.6358
Epoch [480/10000] | D: -23.4724 | G: -128.6157
Epoch [481/10000] | D: -26.7811 | G: -56.8317
Epoch [482/10000] | D: -33.7347 | G: -95.2877
Epoch [483/10000] | D: -70.0710 | G: -144.5112
Epoch [484/10000] | D: -22.7738 | G: -217.7472
Epoch [485/10000] | D: -15.9456 | G: -33.6728
Epoch [486/10000] | D: -45.5862 | G: -96.4205
Epoch [487/10000] | D: -31.0280 | G: -162.3276
Epoch [488/10000] | D: -64.6972 | G: -59.4755
Epoch [489/10000] | D: -36.9364 | G: -108.6871
